ArticleID,ExpertID,CategoryID,Subject,Thumbnail,PostTime,ClickCount,ReadBook,CreateUserID,CreateUserName,CreateTime,ModifyUserID,ModifyUserName,ModifyTime,SubCategoryID,PlatformType,DeleteStatus
1,1,2,「16年的孤軍奮戰後，我才知道政府有提供失能者服務」照顧者榮雲霄的心情故事,2c838b8e-b4bf-4761-b190-1941ffe88202.jpg,2016-05-24 00:00:00.000,51089,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:32:29.053,NULL,1,0
2,1,2,「媽媽，我沒有不要你！」將失智母親送到安養院，是我最好的選擇,e7f679dd-58c8-47e6-8d04-d08c82bcd6dd.jpg,2016-05-24 00:00:00.000,254452,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:34:18.303,NULL,1,0
3,1,4,夾縫中求生存 三不管的「過動」失智老人,56fbcf2a-8b33-4069-8b23-2b16a9f4f71e.jpg,2016-05-24 00:00:00.000,32426,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:35:19.977,NULL,1,0
4,5,4,什麼是壓傷(舊名壓瘡)？為什麼壓傷照顧不好可能造成病人死亡呢？,e99b1271-e0df-4197-af71-246a344d7d62.jpg,2016-05-24 00:00:00.000,34096,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:37:26.053,NULL,1,0
5,2,2,你累了嗎？居家照護的十大壓力徵兆，檢視你中了幾項－諮商心理師 陳乃綾,2a2b2311-ad84-40cd-a926-2f13398c6da4.jpg,2016-05-24 00:00:00.000,35830,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:39:14.710,NULL,1,0
6,5,4,【照護技巧】咳痰困難的照護,ba71b5c0-01da-412b-b2cf-764b83e71a14.jpg,2016-05-24 00:00:00.000,46481,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:40:18.803,NULL,1,0
7,5,4,【認識失智症】初期失智症的八大症狀,28469dd5-b097-47aa-95d8-10cd86c542af.jpg,2016-05-24 00:00:00.000,255152,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:41:22.477,NULL,1,0
8,1,3,長期照護人力不足？你請不到人，也許是你看不起他,c0df3836-641b-4cb5-a168-72574930f293.jpg,2016-05-24 00:00:00.000,59050,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:42:59.400,NULL,1,0
9,2,2,「快樂，是一種選擇。」 給家庭照顧者的紓壓DIY－諮商心理師 陳乃綾,001336b1-6ca2-44b0-bcd9-3cece6c268b0.jpg,2016-05-24 00:00:00.000,23325,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:43:57.053,NULL,1,0
10,7,1,3分鐘見效的養生法！幫長者做手指瑜珈運動,f314a650-a4da-455f-8313-fe47df23454b.jpg,2016-05-24 00:00:00.000,37978,NULL,NULL,NULL,NULL,1,系統管理員,2018-08-25 16:44:52.273,NULL,1,0
